"Figure 2: Unemployment rates have been generally  falling for the last six years",""
"UK unemployment rates (aged 16 years and over), seasonally adjusted, January to March 1971 to June to August 2019",""
"",""
"Notes",""
"Unit","% of all economically active"
"",""
"Period","People","Men","Women"
"Jul-Sep 1991","9.2","10.3","7.6"
"Aug-Oct 1991","9.3","10.5","7.6"
"Sep-Nov 1991","9.4","10.7","7.6"
"Oct-Dec 1991","9.5","10.9","7.6"
"Nov-Jan 1992","9.5","11.0","7.6"
"Dec-Feb 1992","9.6","11.2","7.6"
"Jan-Mar 1992","9.7","11.3","7.6"
"Feb-Apr 1992","9.8","11.5","7.6"
"Mar-May 1992","9.8","11.6","7.6"
"Apr-Jun 1992","9.8","11.5","7.6"
"May-Jul 1992","9.9","11.6","7.7"
"Jun-Aug 1992","9.9","11.7","7.7"
"Jul-Sep 1992","9.9","11.8","7.6"
"Aug-Oct 1992","10.1","12.0","7.6"
"Sep-Nov 1992","10.2","12.2","7.7"
"Oct-Dec 1992","10.4","12.4","7.8"
"Nov-Jan 1993","10.5","12.5","8.0"
"Dec-Feb 1993","10.7","12.7","8.1"
"Jan-Mar 1993","10.6","12.7","8.0"
"Feb-Apr 1993","10.6","12.6","8.0"
"Mar-May 1993","10.5","12.5","7.9"
"Apr-Jun 1993","10.4","12.3","8.0"
"May-Jul 1993","10.4","12.3","8.0"
"Jun-Aug 1993","10.3","12.2","8.0"
"Jul-Sep 1993","10.2","12.2","7.8"
"Aug-Oct 1993","10.3","12.1","8.0"
"Sep-Nov 1993","10.2","12.0","7.9"
"Oct-Dec 1993","10.3","12.1","7.9"
"Nov-Jan 1993","10.3","12.1","7.9"
"Dec-Feb 1994","10.1","11.8","7.9"
"Jan-Mar 1994","9.9","11.7","7.8"
"Feb-Apr 1994","9.8","11.5","7.7"
"Mar-May 1994","9.7","11.5","7.6"
"Apr-Jun 1994","9.7","11.5","7.4"
"May-Jul 1994","9.6","11.4","7.3"
"Jun-Aug 1994","9.5","11.3","7.3"
"Jul-Sep 1994","9.4","11.0","7.3"
"Aug-Oct 1994","9.3","10.9","7.2"
"Sep-Nov 1994","9.1","10.7","7.1"
"Oct-Dec 1994","9.0","10.5","7.0"
"Nov-Jan 1994","8.9","10.4","7.0"
"Dec-Feb 1995","8.9","10.4","7.0"
"Jan-Mar 1995","8.9","10.3","7.0"
"Feb-Apr 1995","8.8","10.2","7.1"
"Mar-May 1995","8.8","10.2","7.0"
"Apr-Jun 1995","8.7","10.1","6.9"
"May-Jul 1995","8.7","10.1","6.9"
"Jun-Aug 1995","8.6","10.0","6.9"
"Jul-Sep 1995","8.6","10.0","6.9"
"Aug-Oct 1995","8.6","10.1","6.8"
"Sep-Nov 1995","8.6","9.9","6.9"
"Oct-Dec 1995","8.3","9.6","6.6"
"Nov-Jan 1996","8.4","9.9","6.5"
"Dec-Feb 1996","8.3","9.8","6.4"
"Jan-Mar 1996","8.2","9.8","6.3"
"Feb-Apr 1996","8.3","9.8","6.4"
"Mar-May 1996","8.3","9.7","6.5"
"Apr-Jun 1996","8.3","9.7","6.5"
"May-Jul 1996","8.2","9.6","6.5"
"Jun-Aug 1996","8.1","9.4","6.4"
"Jul-Sep 1996","8.1","9.4","6.4"
"Aug-Oct 1996","8.1","9.4","6.4"
"Sep-Nov 1996","8.0","9.2","6.4"
"Oct-Dec 1996","7.8","8.9","6.5"
"Nov-Jan 1997","7.7","8.7","6.4"
"Dec-Feb 1997","7.5","8.5","6.3"
"Jan-Mar 1997","7.3","8.3","6.2"
"Feb-Apr 1997","7.2","8.1","6.1"
"Mar-May 1997","7.2","8.2","6.0"
"Apr-Jun 1997","7.2","8.1","6.1"
"May-Jul 1997","7.3","8.2","6.2"
"Jun-Aug 1997","7.1","7.9","6.1"
"Jul-Sep 1997","6.8","7.7","5.8"
"Aug-Oct 1997","6.7","7.5","5.7"
"Sep-Nov 1997","6.6","7.4","5.7"
"Oct-Dec 1997","6.5","7.3","5.6"
"Nov-Jan 1998","6.4","7.1","5.6"
"Dec-Feb 1998","6.4","7.0","5.6"
"Jan-Mar 1998","6.4","7.0","5.5"
"Feb-Apr 1998","6.3","7.0","5.5"
"Mar-May 1998","6.3","6.9","5.5"
"Apr-Jun 1998","6.3","6.9","5.6"
"May-Jul 1998","6.3","6.9","5.6"
"Jun-Aug 1998","6.3","6.9","5.5"
"Jul-Sep 1998","6.2","7.0","5.4"
"Aug-Oct 1998","6.2","7.0","5.3"
"Sep-Nov 1998","6.2","6.9","5.3"
"Oct-Dec 1998","6.1","6.9","5.3"
"Nov-Jan 1999","6.2","7.0","5.3"
"Dec-Feb 1999","6.2","7.0","5.3"
"Jan-Mar 1999","6.2","6.9","5.3"
"Feb-Apr 1999","6.2","6.8","5.3"
"Mar-May 1999","6.1","6.8","5.3"
"Apr-Jun 1999","6.0","6.7","5.2"
"May-Jul 1999","6.0","6.6","5.2"
"Jun-Aug 1999","5.9","6.5","5.2"
"Jul-Sep 1999","5.9","6.5","5.2"
"Aug-Oct 1999","5.8","6.3","5.2"
"Sep-Nov 1999","5.8","6.4","5.2"
"Oct-Dec 1999","5.8","6.3","5.2"
"Nov-Jan 2000","5.9","6.4","5.2"
"Dec-Feb 2000","5.8","6.3","5.2"
"Jan-Mar 2000","5.8","6.2","5.3"
"Feb-Apr 2000","5.7","6.2","5.1"
"Mar-May 2000","5.6","6.1","5.0"
